physical_lines	disposition	exclusion_category	path
107	included	-	tokio-test/tests/macros.rs
107	included	-	tokio/tests/io_read_line.rs
107	included	-	tokio/tests/rt_spawn_blocking.rs
106	included	-	examples/print_each_packet.rs
105	included	-	tokio/src/runtime/task/abort.rs
105	included	-	tokio/src/sync/tests/loom_rwlock.rs
105	included	-	tokio/tests/signal_realtime.rs
105	included	-	tokio/tests/task_builder.rs
104	included	-	benches/sync_notify.rs
104	included	-	tokio-test/tests/task.rs
103	included	-	benches/remote_spawn.rs
103	included	-	tokio/tests/io_driver.rs
102	included	-	tokio-stream/src/wrappers/broadcast.rs
102	included	-	tokio-util/src/util/memchr.rs
102	included	-	tokio/src/util/memchr.rs
101	included	-	tokio/tests/io_copy.rs
100	included	-	tokio/src/sync/tests/loom_atomic_waker.rs
99	included	-	examples/dump.rs
99	included	-	tokio-stream/src/stream_ext/merge.rs
99	included	-	tokio-util/src/net/mod.rs
99	included	-	tokio/src/fs/write.rs
99	included	-	tokio/src/runtime/context/runtime.rs
99	included	-	tokio/tests/sync_barrier.rs
98	included	-	examples/named-pipe-multi-client.rs
98	included	-	tokio/src/io/async_seek.rs
98	included	-	tokio/src/io/stdin.rs
97	included	-	benches/signal.rs
97	included	-	tokio/src/runtime/context/current.rs
96	included	-	benches/spawn.rs
96	included	-	tokio-stream/src/stream_ext/throttle.rs
96	included	-	tokio-stream/src/wrappers/mpsc_unbounded.rs
96	included	-	tokio/src/io/util/async_seek_ext.rs
96	included	-	tokio/tests/fs_uring_runtime_shutdown.rs
95	included	-	tokio-stream/src/stream_ext/then.rs
95	included	-	tokio/src/runtime/time_alt/cancellation_queue/tests.rs
94	included	-	examples/connect-udp.rs
94	included	-	tokio/src/fs/read.rs
94	included	-	tokio/src/io/util/sink.rs
94	included	-	tokio/tests/io_read_buf.rs
93	included	-	tokio-stream/src/stream_close.rs
93	included	-	tokio/src/runtime/task/trace/symbol.rs
93	included	-	tokio/tests/coop_budget.rs
92	included	-	examples/echo-udp.rs
92	included	-	tokio-stream/src/stream_ext/chunks_timeout.rs
91	included	-	tokio/src/runtime/task/id.rs
90	included	-	tokio/src/runtime/time_alt/cancellation_queue.rs
90	included	-	tokio/tests/tcp_shutdown.rs
89	included	-	benches/rt_current_thread.rs
89	included	-	tokio/src/fs/try_exists.rs
89	included	-	tokio/src/signal/mod.rs
89	included	-	tokio/src/util/cacheline.rs
86	included	-	examples/prewarm-fd-table.rs
86	included	-	tokio-stream/src/stream_ext/take.rs
86	included	-	tokio-util/src/codec/bytes_codec.rs
85	included	-	benches/sync_watch.rs
85	included	-	examples/echo-tcp.rs
85	included	-	tokio-stream/src/iter.rs
85	included	-	tokio-util/tests/reusable_box.rs
85	included	-	tokio/src/runtime/tests/mod.rs
84	included	-	tokio-stream/src/stream_ext/skip_while.rs
84	included	-	tokio-stream/src/stream_ext/take_while.rs
84	included	-	tokio-stream/src/wrappers/tcp_listener.rs
84	included	-	tokio-stream/tests/chunks_timeout.rs
84	included	-	tokio-util/tests/poll_semaphore.rs
84	included	-	tokio/tests/fs_open_options.rs
83	included	-	tokio-stream/src/stream_ext/map_while.rs
83	included	-	tokio-stream/tests/stream_merge.rs
83	included	-	tokio/src/runtime/task_hooks.rs
83	included	-	tokio/src/util/wake_list.rs
83	included	-	tokio/tests/rt_worker_index.rs
82	included	-	benches/sync_broadcast.rs
82	included	-	tokio/src/future/try_join.rs
82	included	-	tokio/src/runtime/tests/loom_join_set.rs
82	included	-	tokio/tests/rt_shutdown_err.rs
82	included	-	tokio/tests/tracing_time.rs
81	included	-	tokio/src/util/metric_atomics.rs
81	included	-	tokio/tests/io_join.rs
80	included	-	examples/udp-codec.rs
80	included	-	tokio-util/src/cfg.rs
80	included	-	tokio/src/io/util/read_until.rs
80	included	-	tokio/src/util/try_lock.rs
79	included	-	tokio-util/src/future/with_cancellation_token.rs
79	included	-	tokio/src/runtime/scheduler/multi_thread/worker/taskdump.rs
78	included	-	tokio-stream/src/wrappers/task.rs
78	included	-	tokio/src/io/util/read_to_string.rs
78	included	-	tokio/src/loom/mocked.rs
78	included	-	tokio/src/util/wake.rs
77	included	-	tokio-stream/src/wrappers/interval.rs
77	included	-	tokio-stream/src/wrappers/lines.rs
77	included	-	tokio-stream/src/wrappers/split.rs
76	included	-	tokio-util/src/io/copy_to_bytes.rs
76	included	-	tokio-util/tests/abort_on_drop.rs
76	included	-	tokio/src/loom/std/atomic_u64_as_mutex.rs
75	included	-	tokio/tests/io_read.rs
74	excluded	fixture	tests-build/tests/fail/macros_invalid_input.rs
74	included	-	tokio-util/tests/io_sync_bridge.rs
74	included	-	tokio/src/io/util/repeat.rs
74	included	-	tokio/src/util/ptr_expose.rs
74	included	-	tokio/tests/io_read_until.rs
74	included	-	tokio/tests/io_take.rs
73	included	-	benches/spawn_blocking.rs
73	included	-	examples/connect-tcp.rs
73	included	-	tokio-stream/src/stream_ext/skip.rs
73	included	-	tokio-stream/src/wrappers/unix_listener.rs
72	included	-	examples/udp-client.rs
72	included	-	tokio-stream/fuzz/fuzz_targets/fuzz_stream_map.rs
72	included	-	tokio-util/tests/io_sink_writer.rs
72	included	-	tokio/src/sync/tests/loom_set_once.rs
71	included	-	tokio-stream/src/wrappers.rs
71	included	-	tokio/src/io/util/read_buf.rs
71	included	-	tokio/src/runtime/blocking/shutdown.rs
71	included	-	tokio/tests/fs_uring_cancel_open.rs
71	included	-	tokio/tests/net_quickack.rs
70	included	-	tokio/src/runtime/scheduler/inject.rs
70	included	-	tokio/src/runtime/time_alt/wake_queue/tests.rs
69	excluded	fixture	tests-build/tests/fail/macros_type_mismatch.rs
69	included	-	tokio-stream/src/macros.rs
69	included	-	tokio-stream/src/stream_ext/filter.rs
69	included	-	tokio-stream/src/stream_ext/filter_map.rs
69	included	-	tokio-stream/tests/stream_fuse.rs
69	included	-	tokio/src/io/util/read_exact.rs
68	included	-	tokio/src/doc/os.rs
68	included	-	tokio/src/runtime/time/handle.rs
67	included	-	tokio-util/src/util/maybe_dangling.rs
66	included	-	tokio/src/net/unix/socketaddr.rs
66	included	-	tokio/src/runtime/blocking/schedule.rs
65	included	-	tokio-stream/src/wrappers/read_dir.rs
65	included	-	tokio-util/src/lib.rs
65	included	-	tokio-util/tests/io_reader_stream.rs
64	included	-	examples/proxy.rs
64	included	-	tokio/src/io/util/write_all_buf.rs
64	included	-	tokio/src/io/util/write_buf.rs
64	included	-	tokio/src/net/mod.rs
64	included	-	tokio/src/util/bit.rs
63	included	-	tokio-stream/src/stream_ext/fuse.rs
63	included	-	tokio-stream/tests/mpsc_unbounded_stream.rs
63	included	-	tokio/src/blocking.rs
63	included	-	tokio/tests/io_read_to_string.rs
62	included	-	tokio-stream/src/once.rs
62	included	-	tokio-stream/src/stream_ext/map.rs
62	included	-	tokio-stream/src/wrappers/signal_unix.rs
62	included	-	tokio/src/runtime/config.rs
62	included	-	tokio/src/runtime/scheduler/multi_thread/counters.rs
62	included	-	tokio/src/signal/ctrl_c.rs
61	included	-	tokio-stream/src/stream_ext/chain.rs
61	included	-	tokio/src/runtime/metrics/schedule_latency.rs
61	included	-	tokio/src/runtime/scheduler/multi_thread/trace.rs
61	included	-	tokio/src/util/rand/rt.rs
